acquiring	Learning	LEARNING IS ACQUIRING
acquisition	Change of state	CHANGE IS ACQUISITION
Action	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS ANTAGONISTIC FORCE
Action	Opportunities	IMPEDIMENTS TO UTILIZING EDUCATIONAL OPPORTUNITIES IS ANTAGONISTIC FORCE
Actor	Market	MARKET IS AN ACTOR
Addiction	guns	GUNS ARE DRUGS
Adoption	Selection	SELECTION IS ADOPTION
adversaries	Ideology	DIFFERING IDEOLOGIES ARE ADVERSARIES
agent	Natural process	NATURE IS AN AGENT
Animal	Crime	ADDRESSING CRIME IS CONTROLLING AN ANIMAL
Animal	Crime	UNCONTROLLED CRIME IS A RAMPAGING ANIMAL
animal	Crime	CRIME IS AN ANIMAL
Animal	Person	PEOPLE ARE ANIMALS
Animal	Poverty	POVERTY IS A FIERCE CREATURE
Arriving	Change of state	IMPROVING A STATE IS MOTION TO A PREFERRED LOCATION
Attacking	Cancer	SURVIVING CANCER IS HARMING CANCER
Attacking	Criticizing	CRITICIZING IS ATTACKING
Attacking	Rights	GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS ATTACKING
Back	Time	PAST IS BEHIND
Barrier	Opportunities	IMPEDIMENTS TO UTILIZING EDUCATIONAL OPPORTUNITIES IS OBSTACLES TO ACCESSING A LOCATION
Barrier	Regulation	GOVERNMENT REGULATION IS A BARRIER
Barrier	Resource	INSURMOUNTABLE DIFFERENCES IN WEALTH IS BARRIER TO ACCESSING A LOCATION
being free	Wealth	BEING WEALTHY IS BEING FREE
Bird	Democracy	DEMOCRACY IS A BIRD
Boat	Nation	NATION IS A BOAT
Body weight	Government	INEFFICIENT GOVERNMENT IS A BLOATED BODY
Body weight	Resource	AMOUNT OF RESOURCE IS BODY WEIGHT
Body weight	Resource	EXCESS WEALTH IS EXCESS BODY WEIGHT
Body	Economy	ECONOMY IS A BODY
Body	Group	GROUP IS A BODY
Body	Institution	GOVERNMENT INSTITUTION IS A BODY
Body	Institution	EFFECTIVE GOVERNMENT INSTITUTION IS A HEALTHY BODY
Body	Institution	EFFICIENT GOVERNMENT IS A LEAN BODY
body	mind	MIND IS A BODY
Body	Nation	NATION IS A BODY
boxing match	Election	ELECTION IS A BOXING MATCH
Building	Career	CAREER IS A BUILDING
Building	Institution	GOVERNMENT INSTITUTION IS A BUILDING
Building	Institution	INSTITUTIONS ARE BUILDINGS
Building	Institution	EFFECTIVE GOVERNMENT INSTITUTION IS A STRONG BUILDING
Building	Legitimacy	TRUST IN GOVERNMENT IS A BUILDING
Building	Mind	MIND IS A BUILDING
Building	Nation	NATION IS A BUILDING
Building	Relationship	TRUST RELATIONSHIPS ARE BUILDINGS
Building	Social_group	SOCIAL GROUPS ARE BUILDINGS
Building	Theory	THEORIES ARE BUILDINGS
Bully	Leadership	ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
Bully	Nation	NATIONS WHO ABUSE POWER ARE BULLIES
Burden	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS PHYSICAL BURDEN
Burden	Disease	DISEASES ARE BURDENS
Burden	Regulation	GOVERNMENT REGULATION IS A BURDEN
Burden	Taxation	TAXATION IS A BURDEN
Business	government	GOVERNMENT IS A BUSINESS
Business	Government	INEFFECTIVE GOVERNMENT IS A POORLY-MANAGED BUSINESS
Business	Institution	INSTITUTION IS A BUSINESS
Business	Institution	EFFECTIVE GOVERNMENT IS A WELL-MANAGED BUSINESS
Business	Nation	NATION IS A BUSINESS
Business	Nation	CITIZENS ARE EMPLOYERS
Card game	Rights	CONSIDERING THE IMPORTANCE OF RIGHTS IS PLAYING A GAME
Causation	Action	GUIDED ACTION IS GUIDED MOTION ALONG A PATH
Causation	Action	MANNER OF ACTION IS MANNER OF MOVEMENT
Causation	Action	ACTION IS SELF-PROPELLED MOTION ALONG A PATH
Causation	Change of state	CAUSED IMPROVED ECONOMIC STATUS IS CAUSED UPWARD MOTION
Causation	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS PHYSICAL IMPEDIMENTS TO MOTION
Causation	Debt	DEBT IS PHYSICAL IMPEDIMENTS TO MOTION
Causation	difficulties	DIFFICULTIES ARE IMPEDIMENTS TO MOVEMENT
Causation	Leadership	LEADING IS A FORCE MOVING AN OBJECT FORWARD
Causation	Leadership	INCITING GOVERNING ACTION IS FORCED MOVEMENT
Causation	Leadership	LEADING A NATION IS STEERING A BOAT
Causation	Leadership	LEADING A NATION IS DRIVING A VEHICLE
Causation	Leadership	LEADING A GROUP IS DRIVING A VEHICLE
Causation	Legislative action	ENACTING LEGISLATION IS CAUSING MOTION ALONG A PATH
Causation	Legislative action	INHIBITTING ENACTMENT OF LEGISLATION IS IMPEDING MOTION
Causation	Legislative action	PREVENTING ENACTMENT OF LEGISLATION IS BLOCKING MOTION
Causation	Legislative action	GUN CONTROL REGULATION IS A MOTION IMPEDIMENT
Causation	Poverty	CAUSED IMPOVERISHMENT IS CAUSED DOWNWARD MOTION
Causation	Poverty	POVERTY IS A MOTION IMPEDIMENT
Causation	Quantity	CAUSE INCREASE IN QUANTITY IS CAUSE UPWARD MOTION
Causation	Relationship	MAKING RELATED IS CAUSING CONTACT
Causation	Taxation	TAXATION IS IMPEDIMENTS TO MOTION
Cause_harm	Difficulty	CAUSING ECONOMIC HARDSHIP IS CAUSING PHYSICAL HARM
central	Importance	IMPORTANT IS CENTRAL
centrality	Power	POWER IS CENTRALITY
change of location	Change of state	CHANGE OF STATE IS CHANGE OF LOCATION
change of location	Change of state	IMPROVING ECONOMIC STATUS IS MOVING OUT OF A LOCATION
change of location	Change of state	SELF-INITIATED STATE CHANGE IS SELF-PROPELLED MOTION
change of location	Change of state	IMPROVING ECONOMIC STATUS IS UPWARD MOTION
change of location	Impoverished	BECOMING IMPOVERISHED IS MOVING DOWNWARDS
Child care	Government	GOVERNMENT IS A CHILDCARE PROVIDER
Citizens	Nation	COOPERATIVE NATIONS ARE GOOD CITIZENS
Cleanliness	Purity	PURITY IS CLEANLINESS
Cleanliness	Purity	PURIFYING IS CLEANSING
Commodity	Ideology	DEMOCRATIC IDEOLOGY IS A COMMODITY
Commodity	Time	TIME IS A COMMODITY
Competition	Cancer	SURVIVING CANCER IS WINNING A COMPETITION
Competition	Election	LOSING AN ELECTION IS LOSING A BOXING MATCH
Competition	Election	WINNING AN ELECTION IS WINNING A BOXING MATCH
Competitive sport	Economic competition	BUSINESS COMPETITION IS COMPETITIVE SPORTS
Competitive sport	Election	ELECTIONS ARE COMPETITIVE SPORTS EVENTS
Computer	Mind	MIND IS A COMPUTER
Confinement	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS ENVIRONMENTAL CONFINEMENT
Confinement	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS CONSTRUCTED CONFINEMENT
Confinement	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS WATER CONFINEMENT
Confinement	Regulation	GOVERNMENT REGULATION IS A PHYSICAL CONSTRAINT
Connectors	Spatial relation	INTERRELATEDNESS IS PHYSICAL INTERCONNECTEDNESS
container	Nation	NATION IS CONTAINER
Containing	Group	GROUPS ARE CONTAINERS
Containing	Relationship	RELATIONSHIPS ARE CONTAINERS
Containing	wholes	WHOLES ARE CONTAINERS
Containing	Word	WORDS ARE CONTAINERS
Containment	Emotion	EMOTION IS PRESSURE IN A CONTAINER
Containment	Essence	ESSENTIAL IS INTERNAL
Containment	Mind	MIND IS A CONTAINER
Containment	Political party	POLITICAL PARTIES ARE CONTAINERS
Containment	Social_group	SOCIAL GROUPS ARE CONTAINERS
Containment	Time	TIME PERIODS ARE CONTAINERS
Containment	Visual_field	VISUAL FIELD IS A CONTAINER
Contents	Constituents	CONSTITUENTS ARE CONTENTS
Contents	Information	INFORMATION IS CONTENTS
Crime	Poverty	POVERTY IS A CRIME
Darkness	Evil	EVIL IS DARK
Decay	Corruption	CORRUPTION IS DECAY
Decision making	Democracy	DEMOCRATIC DECISION-MAKING IS TOWNHALL DECISION-MAKING
Degeneration	Immorality	IMMORALITY IS DEGENERATION
Digestion	Understanding	UNDERSTANDING IS DIGESTING
Disease	Corruption	CORRUPTION EFFECT IS DISEASE EFFECT
Disease	Corruption	CORRUPTION IS A DISEASE
Disease	Crime	CRIME IS A DISEASE
Disease	Crime	INCREASE IN CRIME IS SPREAD OF DISEASE
disease	government	GOVERNMENT IS A DISEASE
Disease	Gun control	GUN CONTROL REGULATION IS A DISEASE
Disease	guns	GUNS ARE A DISEASE
Disease	Morality	IMMORALITY IS DISEASE
Disease	Poverty	POVERTY IS A DISEASE
Disease	Problem	SOCIAL PROBLEMS ARE DISEASES
Disease	Regulation	REGULATION IS A DISEASE
Disease	Taxation	TAXES ARE DISEASES
Disgusting	Badness	BAD IS STINKY
Disgusting	Idea	DISTURBING IDEAS ARE DISGUSTING FOODS
Disgusting	Idea	COGNITIVE AVERSION IS PHYSICAL DISGUST
Disgusting	Wealth	EXCESS WEALTH IS DISGUSTING
Dissect	Analysis	ANALYZING IS DISSECTING
Dividing	Distinguishing	DISTINGUISHING IS DIVIDING
doctor	government	GOVERNMENT IS A DOCTOR
down	Health	SICKNESS IS DOWN
down	Sadness	SAD IS DOWN
driver	government	GOVERNMENT IS A DRIVER
dues	Taxation	TAXES ARE DUES
Eating	Considering	ACCEPTING IS SWALLOWING
Eating	Thinking about	ACQUIRING IDEAS IS EATING
Enablement	Change of state	AIDS TO IMPROVING ECONOMIC STATUS IS AID TO UPWARD MOTION
Entity	Attribute	ATTRIBUTES ARE ENTITIES
Entrapment	Welfare	GOVERNMENT ASSISTANCE IS A TRAP
Erosion	Corruption	CORRUPTION IS EROSION
Escaping	Change of state	IMPROVING ECONOMIC STATUS IS MOVING OUT OF AN UNDESIRABLE LOCATION
facade	Democracy	DEMOCRACY IS A FACADE
Factory	Bureaucracy	BUREAUCRATS ARE FACTORY WORKERS
Factory	Institution	INSTITUTION IS A FACTORY
falling	Evil	DOING EVIL IS FALLING
Family	Community	COMMUNITY IS A FAMILY
Family	Company	COMPANY IS A FAMILY
Family	Country	COUNTRY IS A CHILD
Family	Market	MARKET IS A FAMILY
Family	Nation	NATION IS A FAMILY
Family	Social group	SOCIAL GROUP IS A FAMILY
Feeding	Communication	COMMUNICATING IS FEEDING
Fire	Anger	ANGER IS FIRE
Firmness	Certainty	CERTAIN IS FIRM
fluid	Problem	AMOUNT OF GUN VIOLENCE IS A FLUID
fluid	Violence	GUN VIOLENCE IS A FLUID
fluid	Violence	VIOLENCE IS A FLUID
fluid	Weapon	AMOUNT OF GUNS IS A FLUID
following	Understanding	UNDERSTANDING IS FOLLOWING
Food	Causation	Ongoing causation is nourishing
Food	Idea	INTEREST IN IDEAS IS APPETITE FOR FOOD
Food	Idea	INTERESTING IDEAS ARE APPETIZING FOODS
Food	Idea	IDEAS ARE FOOD
Food	Learning	LEARNING IS GETTING NUTRITIOUS FOOD
Force	Causation	CAUSES ARE FORCES
Force	Compulsion	COMPULSION IS A COMPELLING FORCE
Force	Corruption	MORAL CORRUPTION IS A DESTRUCTIVE FORCE
Force	Corruption	CORRUPTION IS A DESTRUCTIVE NATURAL PROCESS
Force	Emotion	EMOTION IS A FORCE
Force	Taxation	TAXATION IS A FORCE
Forward motion	Life	PROGRESSING THROUGH LIFE IS MOVING THROUGH A TERRAIN
Friendships	Alliances	ALLIANCES ARE FRIENDSHIPS
Front	Time	FUTURE IS AHEAD
Gambling	Evaluation	EDUCATIONAL EVALUATION IS GAMBLING
Game	Election	ELECTION IS A GAME
Game	Government	GOVERNMENT IS REFEREE
Grasp	Social status	MAINTAINING HIGHER SOCIAL STATUS IS MAINTAINING HOLD ON PHYSICAL POSITION
grasping	Understanding	UNDERSTANDING IS GRASPING
guiding	Communication	COMMUNICATING IS GUIDING
Hardness	difficulty	DIFFICULTY IS HARDNESS
Harm	Advocacy	GUN CONTROL ADVOCACY IS PHYSICAL HARM
Harm	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS EXPERIENCING A PHYSICAL AFFLICTION
Harm	Difficulty	ECONOMIC HARDSHIP IS PHYSICAL HARM
Harm	Gun control	GUN CONTROL REGULATION IS PHYSICAL HARM
Harm	Law	NEGATIVELY AFFECTING A LAW IS CAUSING HARM TO A PHYSICAL STRUCTURE
Harm	Poverty	POVERTY IS PHYSICAL HARM
Harm	Problem	GUN VIOLENCE IS A PHYSICAL AFFLICTION
Harm	Problem	SOCIAL PROBLEMS ARE PHYSICAL AFFLICTIONS
Harm	Problem	GUN VIOLENCE IS PHYSICAL HARM
Harm	State	NEGATIVELY EVALUATED CONDITIONS ARE HARMFUL AGENTS
Harm	Taxation	TAXATION IS CAUSING HARM
Heat	Activity	INTENSITY OF ACTIVITY IS HEAT
Heat	Affection	AFFECTION IS WARMTH
Heat	Anger	ANGER IS HEAT
Heat	Anger	ANGER IS THE HEAT OF FLUID IN A CONTAINER
Heat	Desire	PASSION IS HEAT
Heat	Emotion	EMOTIONALLY INTENSE IS HOT
Heat	Emotion	EMOTIONAL INTENSITY IS TEMPERATURE
Heat	Sympathy	SYMPATHY IS WARMTH
