"metaphor_id","session_id","value"
"432","34","5"
"443","29","6"
"445","30","7"
"446","31","4"
"455","31","7"
"457","32","9"
"460","35","5"
"463","27","6"
"463","29","6"
"467","35","5"
"468","35","5"
"474","27","6"
"477","28","7"
"482","25","5"
"484","32","1"
"488","32","5"
"493","26","10"
"498","33","5"
"509","31","6"
"515","33","6"
"520","25","2"
"523","27","6"
"526","34","6"
"549","29","8"
"550","26","6"
"552","32","4"
"556","30","2"
"560","30","5"
"565","28","7"
"565","31","4"
"572","31","7"
"574","30","2"
"575","26","7"
"576","35","5"
"578","34","5"
"587","26","2"
"587","28","9"
"600","33","7"
"604","27","8"
"609","27","5"
"610","27","4"
"613","32","6"
"614","30","7"
"620","33","7"
"622","27","4"
"625","33","5"
"628","28","8"
"630","26","5"
"633","26","6"
"635","25","3"
"637","28","9"
"639","25","8"
"642","34","3"
"645","31","8"
"646","29","7"
"649","30","5"
"649","34","2"
"653","34","7"
"657","25","3"
"659","30","2"
"668","29","7"
"670","25","8"
"673","26","7"
"677","32","2"
"681","32","7"
"687","28","8"
"689","35","5"
"695","34","8"
"697","29","10"
"700","35","5"
"702","33","4"
"702","35","5"
"704","25","3"
"709","34","2"
"710","26","2"
"714","32","3"
"718","28","8"
"728","31","7"
"736","27","3"
"739","28","7"
"740","31","4"
"745","27","7"
"763","33","8"
"783","28","7"
"786","32","8"
"787","33","8"
"787","35","5"
"791","25","7"
"792","35","5"
"793","29","4"
"796","27","9"
"797","29","5"
"800","34","5"
"802","30","2"
"802","35","5"
"813","25","7"
"817","26","8"
"817","31","6"
"820","33","5"
"824","25","3"
"826","30","4"
"829","29","1"
"829","30","4"
"830","29","5"
"834","26","4"
"838","34","6"
"842","31","5"
"847","33","9"
"849","28","8"
"855","32","4"
